gene_id,log2FoldChange,pvalue,padj,Comparison
YNCD0034C,-2.950826,1.773487e-12,5.361853e-11,A_vs_E
YNCE0024W,-1.764143,4.367282e-13,1.46232e-11,A_vs_E
YNCE0028C,-4.715258,5.3003749999999995e-20,5.569049e-18,A_vs_E
YNCF0003C,-2.057253,2.308246e-09,3.397693e-08,A_vs_E
YNCF0009C,-1.056482,0.01081985,0.02646881,A_vs_E
YNCG0002C,-3.956348,0.000876537,0.003019568,A_vs_E
YNCG0007C,-3.850657,0.0009142364,0.00313526,A_vs_E
YNCG0015C,-1.092009,0.003221988,0.009231214,A_vs_E
YNCG0017W,-6.529615,0.0003909383,0.001499294,A_vs_E
YNCG0024W,-2.329854,4.630871e-12,1.306506e-10,A_vs_E
YNCG0028W,-1.621717,1.895463e-07,1.763504e-06,A_vs_E
YNCG0033W,-3.068597,0.001298155,0.004210194,A_vs_E
YNCH0004C,-2.146595,4.225168e-08,4.581526e-07,A_vs_E
YNCH0011W,-1.236694,0.003732332,0.01048632,A_vs_E
YNCH0016C,-1.397814,0.004226477,0.01169671,A_vs_E
YNCI0007C,-24.8829,6.779838e-15,3.227839e-13,A_vs_E
YNCJ0008W,-6.557841,9.126794e-30,2.13918e-27,A_vs_E
YNCJ0011W,-4.122917,0.0008219403,0.002860596,A_vs_E
YNCJ0015W,-23.92417,2.63735e-10,4.855593e-09,A_vs_E
YNCJ0016C,-17.00511,3.219744e-06,2.174715e-05,A_vs_E
YNCJ0017C,-3.370699,0.001123335,0.003740768,A_vs_E
YNCJ0025W,-1.675764,7.790239e-05,0.0003596494,A_vs_E
YNCK0003W,-2.787751,2.450327e-10,4.56645e-09,A_vs_E
YNCK0014W,-24.7249,2.094598e-10,3.976473e-09,A_vs_E
YNCK0020C,-1.371299,3.699538e-08,4.084237e-07,A_vs_E
YNCL0002C,-1.300568,0.005056659,0.01367138,A_vs_E
YNCL0007W,-6.22579,0.0003837678,0.001475509,A_vs_E
YNCL0041C,-1.029786,0.005021959,0.01358358,A_vs_E
YNCM0011W,-3.217986,5.027504e-11,1.102072e-09,A_vs_E
YNCM0015W,-1.379293,1.94893e-05,0.0001049185,A_vs_E
YNCM0024W,-24.01399,2.917983e-17,2.116927e-15,A_vs_E
YNCM0030W,-2.630685,1.186735e-14,5.357011e-13,A_vs_E
YNCM0031W,-1.867936,2.511366e-08,2.920661e-07,A_vs_E
YNCM0032C,-4.49622,2.400873e-10,4.488013e-09,A_vs_E
YNCM0034C,-2.125948,1.383314e-12,4.300977e-11,A_vs_E
YNCN0016C,-3.321894,3.649101e-05,0.0001840863,A_vs_E
YNCN0018W,-2.193319,5.419002e-09,7.371294e-08,A_vs_E
YNCO0007W,-1.198525,0.004373757,0.01204984,A_vs_E
YNCO0014C,-1.013263,0.007634993,0.01959884,A_vs_E
YNCO0022C,-1.461348,1.822408e-05,9.88936e-05,A_vs_E
YNCO0024C,-1.941828,2.7392e-07,2.458422e-06,A_vs_E
YNCO0026W,-1.549802,6.674979e-06,4.117138e-05,A_vs_E
YNCP0012W,-1.327783,0.009270984,0.02318317,A_vs_E
YNCP0025W,-1.159888,3.741972e-06,2.497653e-05,A_vs_E
YNCP0026W,-2.635769,1.093176e-23,1.753109e-21,A_vs_E
YNL003C,-1.486864,3.427661e-08,3.839736e-07,A_vs_E
YNL005C,-2.525315,2.9423979999999998e-34,1.0547630000000001e-31,A_vs_E
YNL020C,-1.193487,4.349622e-05,0.0002148022,A_vs_E
YNL026W,-1.105638,0.0001136487,0.0004986143,A_vs_E
YNL030W,-1.711931,1.996405e-05,0.0001070959,A_vs_E
YNL031C,-1.508277,6.724829e-05,0.0003152829,A_vs_E
